2025-07-01 11:03:22 | INFO | 🚀 ONE Automation System Started
2025-07-01 11:04:11 | INFO |    • Health Check: ✅
2025-07-01 11:04:11 | INFO |    • Sample Data: 10 records generated
2025-07-01 11:04:11 | SUCCESS | 🎉 Automation demo completed successfully!
2025-07-01 11:04:44 | INFO | 🚀 ONE Automation System Started
2025-07-01 11:04:44 | INFO | 🎯 Starting automation demo...
2025-07-01 11:04:44 | INFO | 🔍 Checking system status...
2025-07-01 11:04:44 | ERROR | ❌ Backend connection failed: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1048878c0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-07-01 11:04:44 | SUCCESS | ✅ Frontend is running
2025-07-01 11:04:44 | INFO | 🔬 Running automation health check...
2025-07-01 11:04:44 | SUCCESS | ✅ File system is writable
2025-07-01 11:04:44 | INFO | 📊 Generating sample data...
2025-07-01 11:04:44 | SUCCESS | ✅ Sample data saved to: data/sample_orders_20250701_110444.xlsx
2025-07-01 11:04:44 | INFO | 📋 Automation Demo Summary:
2025-07-01 11:04:44 | INFO |    • Backend Status: ❌
2025-07-01 11:04:44 | INFO |    • Frontend Status: ✅
2025-07-01 11:04:44 | INFO |    • Health Check: ✅
2025-07-01 11:04:44 | INFO |    • Sample Data: 10 records generated
2025-07-01 11:04:44 | SUCCESS | 🎉 Automation demo completed successfully!
2025-07-01 11:24:18 | INFO | 🚀 ONE Automation System Started
2025-07-01 11:24:18 | INFO | 🎯 Starting automation demo...
2025-07-01 11:24:18 | INFO | 🔍 Checking system status...
2025-07-01 11:24:18 | ERROR | ❌ Backend connection failed: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x106de78c0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-07-01 11:24:18 | SUCCESS | ✅ Frontend is running
2025-07-01 11:24:18 | INFO | 🔬 Running automation health check...
2025-07-01 11:24:18 | SUCCESS | ✅ File system is writable
2025-07-01 11:24:18 | INFO | 📊 Generating sample data...
2025-07-01 11:24:19 | SUCCESS | ✅ Sample data saved to: data/sample_orders_20250701_112418.xlsx
2025-07-01 11:24:19 | INFO | 📋 Automation Demo Summary:
2025-07-01 11:24:19 | INFO |    • Backend Status: ❌
2025-07-01 11:24:19 | INFO |    • Frontend Status: ✅
2025-07-01 11:24:19 | INFO |    • Health Check: ✅
2025-07-01 11:24:19 | INFO |    • Sample Data: 10 records generated
2025-07-01 11:24:19 | SUCCESS | 🎉 Automation demo completed successfully!
2025-07-01 11:25:57 | INFO | 🚀 ONE Automation System Started
2025-07-01 11:25:57 | INFO | 🎯 Starting automation demo...
2025-07-01 11:25:57 | INFO | 🔍 Checking system status...
2025-07-01 11:25:57 | ERROR | ❌ Backend connection failed: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1053378c0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-07-01 11:25:57 | SUCCESS | ✅ Frontend is running
2025-07-01 11:25:57 | INFO | 🔬 Running automation health check...
2025-07-01 11:25:57 | SUCCESS | ✅ File system is writable
2025-07-01 11:25:57 | INFO | 📊 Generating sample data...
2025-07-01 11:25:57 | SUCCESS | ✅ Sample data saved to: data/sample_orders_20250701_112557.xlsx
2025-07-01 11:25:57 | INFO | 📋 Automation Demo Summary:
2025-07-01 11:25:57 | INFO |    • Backend Status: ❌
2025-07-01 11:25:57 | INFO |    • Frontend Status: ✅
2025-07-01 11:25:57 | INFO |    • Health Check: ✅
2025-07-01 11:25:57 | INFO |    • Sample Data: 10 records generated
2025-07-01 11:25:57 | SUCCESS | 🎉 Automation demo completed successfully!
2025-07-01 11:26:08 | INFO | 🚀 ONE Automation System Started
2025-07-01 11:26:08 | INFO | 🎯 Starting automation demo...
2025-07-01 11:26:08 | INFO | 🔍 Checking system status...
2025-07-01 11:26:08 | ERROR | ❌ Backend connection failed: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x104f0f8c0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-07-01 11:26:08 | SUCCESS | ✅ Frontend is running
2025-07-01 11:26:08 | INFO | 🔬 Running automation health check...
2025-07-01 11:26:08 | SUCCESS | ✅ File system is writable
2025-07-01 11:26:08 | INFO | 📊 Generating sample data...
2025-07-01 11:26:09 | SUCCESS | ✅ Sample data saved to: data/sample_orders_20250701_112608.xlsx
2025-07-01 11:26:09 | INFO | 📋 Automation Demo Summary:
2025-07-01 11:26:09 | INFO |    • Backend Status: ❌
2025-07-01 11:26:09 | INFO |    • Frontend Status: ✅
2025-07-01 11:26:09 | INFO |    • Health Check: ✅
2025-07-01 11:26:09 | INFO |    • Sample Data: 10 records generated
2025-07-01 11:26:09 | SUCCESS | 🎉 Automation demo completed successfully!
2025-07-01 11:38:10 | INFO | 🚀 ONE Automation System Started
2025-07-01 11:38:10 | INFO | 🎯 Starting automation demo...
2025-07-01 11:38:10 | INFO | 🔍 Checking system status...
2025-07-01 11:38:10 | ERROR | ❌ Backend connection failed: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1192bf8c0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-07-01 11:38:10 | SUCCESS | ✅ Frontend is running
2025-07-01 11:38:10 | INFO | 🔬 Running automation health check...
2025-07-01 11:38:10 | SUCCESS | ✅ File system is writable
2025-07-01 11:38:10 | INFO | 📊 Generating sample data...
2025-07-01 11:38:10 | SUCCESS | ✅ Sample data saved to: data/sample_orders_20250701_113810.xlsx
2025-07-01 11:38:10 | INFO | 📋 Automation Demo Summary:
2025-07-01 11:38:10 | INFO |    • Backend Status: ❌
2025-07-01 11:38:10 | INFO |    • Frontend Status: ✅
2025-07-01 11:38:10 | INFO |    • Health Check: ✅
2025-07-01 11:38:10 | INFO |    • Sample Data: 10 records generated
2025-07-01 11:38:10 | SUCCESS | 🎉 Automation demo completed successfully!
2025-07-01 11:39:29 | INFO | 🚀 ONE Automation System Started
2025-07-01 11:39:29 | INFO | 🎯 Starting automation demo...
2025-07-01 11:39:29 | INFO | 🔍 Checking system status...
2025-07-01 11:39:29 | ERROR | ❌ Backend connection failed: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x108fbb8c0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-07-01 11:39:29 | SUCCESS | ✅ Frontend is running
2025-07-01 11:39:29 | INFO | 🔬 Running automation health check...
2025-07-01 11:39:29 | SUCCESS | ✅ File system is writable
2025-07-01 11:39:29 | INFO | 📊 Generating sample data...
2025-07-01 11:39:29 | SUCCESS | ✅ Sample data saved to: data/sample_orders_20250701_113929.xlsx
2025-07-01 11:39:29 | INFO | 📋 Automation Demo Summary:
2025-07-01 11:39:29 | INFO |    • Backend Status: ❌
2025-07-01 11:39:29 | INFO |    • Frontend Status: ✅
2025-07-01 11:39:29 | INFO |    • Health Check: ✅
2025-07-01 11:39:29 | INFO |    • Sample Data: 10 records generated
2025-07-01 11:39:29 | SUCCESS | 🎉 Automation demo completed successfully!
2025-07-01 11:41:24 | INFO | 🚀 ONE Automation System Started
2025-07-01 11:41:24 | INFO | 🎯 Starting automation demo...
2025-07-01 11:41:24 | INFO | 🔍 Checking system status...
2025-07-01 11:41:24 | ERROR | ❌ Backend connection failed: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1108038c0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-07-01 11:41:24 | SUCCESS | ✅ Frontend is running
2025-07-01 11:41:24 | INFO | 🔬 Running automation health check...
2025-07-01 11:41:24 | SUCCESS | ✅ File system is writable
2025-07-01 11:41:24 | INFO | 📊 Generating sample data...
2025-07-01 11:41:25 | SUCCESS | ✅ Sample data saved to: data/sample_orders_20250701_114124.xlsx
2025-07-01 11:41:25 | INFO | 📋 Automation Demo Summary:
2025-07-01 11:41:25 | INFO |    • Backend Status: ❌
2025-07-01 11:41:25 | INFO |    • Frontend Status: ✅
2025-07-01 11:41:25 | INFO |    • Health Check: ✅
2025-07-01 11:41:25 | INFO |    • Sample Data: 10 records generated
2025-07-01 11:41:25 | SUCCESS | 🎉 Automation demo completed successfully!
2025-07-01 11:42:10 | INFO | 🚀 ONE Automation System Started
2025-07-01 11:42:10 | INFO | 🎯 Starting automation demo...
2025-07-01 11:42:10 | INFO | 🔍 Checking system status...
2025-07-01 11:42:10 | ERROR | ❌ Backend connection failed: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1084eb8c0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-07-01 11:42:10 | SUCCESS | ✅ Frontend is running
2025-07-01 11:42:10 | INFO | 🔬 Running automation health check...
2025-07-01 11:42:10 | SUCCESS | ✅ File system is writable
2025-07-01 11:42:10 | INFO | 📊 Generating sample data...
2025-07-01 11:42:10 | SUCCESS | ✅ Sample data saved to: data/sample_orders_20250701_114210.xlsx
2025-07-01 11:42:10 | INFO | 📋 Automation Demo Summary:
2025-07-01 11:42:10 | INFO |    • Backend Status: ❌
2025-07-01 11:42:10 | INFO |    • Frontend Status: ✅
2025-07-01 11:42:10 | INFO |    • Health Check: ✅
2025-07-01 11:42:10 | INFO |    • Sample Data: 10 records generated
2025-07-01 11:42:10 | SUCCESS | 🎉 Automation demo completed successfully!
2025-07-01 11:43:22 | INFO | 🚀 ONE Automation System Started
2025-07-01 11:43:22 | INFO | 🎯 Starting automation demo...
2025-07-01 11:43:22 | INFO | 🔍 Checking system status...
2025-07-01 11:43:22 | ERROR | ❌ Backend connection failed: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10470f8c0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-07-01 11:43:22 | SUCCESS | ✅ Frontend is running
2025-07-01 11:43:22 | INFO | 🔬 Running automation health check...
2025-07-01 11:43:22 | SUCCESS | ✅ File system is writable
2025-07-01 11:43:22 | INFO | 📊 Generating sample data...
2025-07-01 11:43:22 | SUCCESS | ✅ Sample data saved to: data/sample_orders_20250701_114322.xlsx
2025-07-01 11:43:22 | INFO | 📋 Automation Demo Summary:
2025-07-01 11:43:22 | INFO |    • Backend Status: ❌
2025-07-01 11:43:22 | INFO |    • Frontend Status: ✅
2025-07-01 11:43:22 | INFO |    • Health Check: ✅
2025-07-01 11:43:22 | INFO |    • Sample Data: 10 records generated
2025-07-01 11:43:22 | SUCCESS | 🎉 Automation demo completed successfully!
2025-07-01 11:44:05 | INFO | 🚀 ONE Automation System Started
2025-07-01 11:44:05 | INFO | 🎯 Starting automation demo...
2025-07-01 11:44:05 | INFO | 🔍 Checking system status...
2025-07-01 11:44:05 | ERROR | ❌ Backend connection failed: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107ee78c0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-07-01 11:44:05 | SUCCESS | ✅ Frontend is running
2025-07-01 11:44:05 | INFO | 🔬 Running automation health check...
2025-07-01 11:44:05 | SUCCESS | ✅ File system is writable
2025-07-01 11:44:05 | INFO | 📊 Generating sample data...
2025-07-01 11:44:05 | SUCCESS | ✅ Sample data saved to: data/sample_orders_20250701_114405.xlsx
2025-07-01 11:44:05 | INFO | 📋 Automation Demo Summary:
2025-07-01 11:44:05 | INFO |    • Backend Status: ❌
2025-07-01 11:44:05 | INFO |    • Frontend Status: ✅
2025-07-01 11:44:05 | INFO |    • Health Check: ✅
2025-07-01 11:44:05 | INFO |    • Sample Data: 10 records generated
2025-07-01 11:44:05 | SUCCESS | 🎉 Automation demo completed successfully!
2025-07-01 11:45:17 | INFO | 🚀 ONE Automation System Started
2025-07-01 11:45:17 | INFO | 🎯 Starting automation demo...
2025-07-01 11:45:17 | INFO | 🔍 Checking system status...
2025-07-01 11:45:17 | ERROR | ❌ Backend connection failed: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1053eb8c0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-07-01 11:45:17 | SUCCESS | ✅ Frontend is running
2025-07-01 11:45:17 | INFO | 🔬 Running automation health check...
2025-07-01 11:45:17 | SUCCESS | ✅ File system is writable
2025-07-01 11:45:17 | INFO | 📊 Generating sample data...
2025-07-01 11:45:17 | SUCCESS | ✅ Sample data saved to: data/sample_orders_20250701_114517.xlsx
2025-07-01 11:45:17 | INFO | 📋 Automation Demo Summary:
2025-07-01 11:45:17 | INFO |    • Backend Status: ❌
2025-07-01 11:45:17 | INFO |    • Frontend Status: ✅
2025-07-01 11:45:17 | INFO |    • Health Check: ✅
2025-07-01 11:45:17 | INFO |    • Sample Data: 10 records generated
2025-07-01 11:45:17 | SUCCESS | 🎉 Automation demo completed successfully!
2025-07-01 11:46:07 | INFO | 🚀 ONE Automation System Started
2025-07-01 11:46:07 | INFO | 🎯 Starting automation demo...
2025-07-01 11:46:07 | INFO | 🔍 Checking system status...
2025-07-01 11:46:07 | SUCCESS | ✅ Backend is running
2025-07-01 11:46:07 | SUCCESS | ✅ Frontend is running
2025-07-01 11:46:07 | INFO | 🔬 Running automation health check...
2025-07-01 11:46:07 | SUCCESS | ✅ File system is writable
2025-07-01 11:46:07 | INFO | 📊 Generating sample data...
2025-07-01 11:46:07 | SUCCESS | ✅ Sample data saved to: data/sample_orders_20250701_114607.xlsx
2025-07-01 11:46:07 | INFO | 📋 Automation Demo Summary:
2025-07-01 11:46:07 | INFO |    • Backend Status: ✅
2025-07-01 11:46:07 | INFO |    • Frontend Status: ✅
2025-07-01 11:46:07 | INFO |    • Health Check: ✅
2025-07-01 11:46:07 | INFO |    • Sample Data: 10 records generated
2025-07-01 11:46:07 | SUCCESS | 🎉 Automation demo completed successfully!
2025-07-01 12:03:08 | INFO | 🚀 ONE Automation System Started
2025-07-01 12:03:08 | INFO | 🎯 Starting automation demo...
2025-07-01 12:03:08 | INFO | 🔍 Checking system status...
2025-07-01 12:03:08 | ERROR | ❌ Backend error: 403
2025-07-01 12:03:08 | ERROR | ❌ Frontend connection failed: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x112c57750>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-07-01 12:03:08 | INFO | 🔬 Running automation health check...
2025-07-01 12:03:08 | SUCCESS | ✅ File system is writable
2025-07-01 12:03:08 | INFO | 📊 Generating sample data...
2025-07-01 12:03:08 | SUCCESS | ✅ Sample data saved to: data/sample_orders_20250701_120308.xlsx
2025-07-01 12:03:08 | INFO | 📋 Automation Demo Summary:
2025-07-01 12:03:08 | INFO |    • Backend Status: ❌
2025-07-01 12:03:08 | INFO |    • Frontend Status: ❌
2025-07-01 12:03:08 | INFO |    • Health Check: ✅
2025-07-01 12:03:08 | INFO |    • Sample Data: 10 records generated
2025-07-01 12:03:08 | SUCCESS | 🎉 Automation demo completed successfully!
